round,players,round_placement,points,matches,wins,avg_elims,avg_place
Round1,"bbg permreo, XTRA Illest, C9 Avery",1,243,8,3,14.13,5.88
Round1,"Cоmmandment, LOWGROUND KING7, NRG Edgey",2,239,8,4,11.88,5.88
Round1,"Zûky, fаtch, chukky ackerman",3,216,8,2,10.25,4.25
Round1,"SEN VALENSPECT, LG Xoonies., npen",4,203,9,3,11.33,9.89
Round1,"AKA Avivv, Trаshу, DT Rise",5,200,8,2,10.0,7.5
Round1,"ЅTRAFES, OUTCAST RAL, MAGNOLIAǃ",6,183,8,3,7.63,6.88
Round1,"Twunti, Sully ﮎ, rez 〆",7,180,10,3,6.2,12.6
Round1,"Craggy Coder, Peterbot ., Craggy Cartoon",8,180,8,1,10.25,9.63
Round1,"hallow4, dom, clаytоn",9,179,9,3,7.44,10.22
Round1,"Lowground 4bes, baby binky, Takle.",10,178,8,3,7.5,6.75
Round1,"lеo 2004, Twitch Vedfn, XnBad At School",11,178,10,2,8.0,13.4
Round1,"Peanut Brain TS, Sohі, Twitch r8ng",12,177,9,3,8.11,10.11
Round1,"Рrеdator, AKA Equitz YT, Hunt 私",13,177,9,3,7.78,12.56
Round1,"LG JAMPER 111, C9 nosh, EP PAPER 111",14,176,9,1,9.78,12.56
Round1,"All-Star Stonie, cobolt424, ms13 dany",15,176,9,1,8.0,11.44
Round1,"Liquid Riversan, vanish cazzypoo, 9L Lazar",16,174,8,2,9.63,8.88
Round1,"frat OFWGKTA, Snake Ackerman, OT Pxlarized",17,173,10,3,7.4,12.2
Round1,"endless gabе, eldian tahi, sprite dabdabdab",18,172,8,1,9.25,9.0
Round1,"AIM vorp, cowメ, 666 harbi 999",19,172,10,1,7.1,11.3
Round1,"Kn1pher, XPRT Xccept, Spayde OT",20,171,9,2,8.44,9.89
Round1,"potgxd, neeEEEeeemoxd, EayR0G",21,171,10,1,6.1,10.7
Round1,"Apolloz OKOKOK, Pure G5RC, santhroreyli ӝ",22,170,10,4,5.7,11.6
Round1,"Arab on SARMS, Nate Hill, Inno on SARMS",23,170,8,2,8.63,9.5
Round1,"VoidFPS, cN Nukеy, AimHackJack",24,170,8,2,6.63,5.88
Round1,"LDamienS, ETB メ, Okote ﮎ",25,170,10,2,6.4,11.3
Round1,"Chronic Jayѕ, bhronos, Devour Tkay",26,169,9,2,8.56,12.22
Round1,"chay5e, steanzz, CrackedNL.",27,169,8,1,7.0,6.0
Round1,"DukezFN, TRNL Threats, Chap is all in",28,168,9,2,9.22,11.67
Round1,"unofpss, sillygoose249, STRETCH is daddy",29,168,9,2,6.33,9.33
Round1,"TRNL Trap YT, ENDLESS TEEJAY, XPRT Foppe",30,168,9,1,9.22,12.44
Round1,"XSET Knight, XSET Shark, XSET Av",31,167,8,2,9.5,10.88
Round1,"TFC Sharkman., fearfll, Enquz",32,167,9,2,8.67,12.67
Round1,"TwitchMooAcademy, Apuqi, TheOnlyWhyFN",33,167,9,2,8.22,11.22
Round1,"Clank, MSF Cplіtt, Sрicy",34,167,9,0,7.78,9.33
Round1,"FS Degen, FS Ajerss, skqttles",35,166,7,2,10.43,7.29
Round1,"FS notpandda, Xen Squish YT, sto",36,166,10,2,7.6,14.0
Round1,"ENDLESS pgod, XTRA AIliege., G2 Jelty.",37,166,10,0,6.6,11.4
Round1,"littlemoth., joe.FNǃ, BlxckzFN",38,165,9,2,7.67,11.11
Round1,"rwituаl, chvsе, Jυzo",39,165,7,1,9.43,7.14
Round1,"LG Keys., streр, Аѕsаultrr",40,165,10,0,7.5,11.8
Round1,"czеr, Abbo., BassClapper69 〆",41,164,9,1,8.56,11.33
Round1,"noob teyo, Chimpま, Tabnae nae",42,163,8,2,9.25,11.13
Round1,"Jaro ay лoл, AK Jayth, TNA Vex",43,163,7,2,8.71,7.14
Round1,"BBG Bucke, BBG Khanasty, MackWood1x.",44,163,8,2,8.38,10.0
Round1,"Snowy Souly, kickzaroonie, fprtnitegoat36",45,163,8,0,9.0,8.5
Round1,"Noul ay лoл, Savaje ψ, Seem9966",46,162,10,3,6.9,13.4
Round1,"Prxmethium., YouTube Antoun, Youtube QuoteBTW",47,162,8,2,6.5,8.5
Round1,"Mаrs., bhegs, fadesxyz",48,162,8,2,6.38,8.0
Round1,"Dom ﮎ, yt duskyiwnl, Overtime Ozirvo",49,162,9,1,7.67,11.89
Round1,"Twitch.divinefn_, Rythmメ, Youtube PrexVFX",50,162,10,1,5.8,11.0
Round1,"Catchings., Ethvn ., Łui",51,161,10,2,7.6,14.5
Round1,"TNG Backitty, TNG Przm, TNG Crypto",52,161,9,2,6.78,9.78
Round1,"TNA ZUM, TNA SLICK, TNA STAQI",53,161,10,1,9.0,14.7
Round1,"Divine ChrisChin, Stunnа, Pliir",54,161,10,1,8.1,11.7
Round1,"TMP happed, GC daxor, oovik",55,160,9,2,8.0,10.78
Round1,"AdrianQT on yt, Arkive8, Сlamps",56,160,9,2,6.67,9.78
Round1,"Vis 父, cybez, Julty 父",57,160,8,1,8.63,9.38
Round1,"Nobu PaMstou, ARTSYㅤ, wCarey",58,160,10,1,8.2,13.6
Round1,"cerbs1, aliens ay лол, AМP",59,160,9,1,7.67,11.33
Round1,"аrеus, Е13, Zlаts",60,160,9,0,8.56,9.78
Round1,"atoms ay лол, rys eats bread, Sna tch",61,159,9,2,7.67,11.78
Round1,"baby tendies, baby claw, MamadFN",62,159,9,2,5.22,9.56
Round1,"Squiddz., voﱞrtex, 24 Dior",63,159,10,1,6.8,12.7
Round1,"hunky iwnl yt, GBG Bowser, Twitter zoohtfn",64,159,9,1,5.33,10.11
Round1,"mamy ay лол, scylix, Loadist on yt",65,158,7,3,6.86,6.29
Round1,"balanced rockz, аluсаrd., Ѕounx",66,158,6,2,10.83,7.5
Round1,"coconutgoatz, ev vоrtex, youtube milksfn",67,158,9,2,7.22,11.33
Round1,"FNCS NateySquare, youtube vertric, Beast Luis1x",68,158,9,2,6.78,9.67
Round1,"twitch snaxeyy, hаzzard, twitch vize1s",69,158,7,1,9.14,6.29
Round1,"Nickmercs, G2 Coop, SypherPK",70,158,8,1,7.38,8.5
Round1,"AK Defy, tickrss, Εdits.",71,158,9,1,7.0,11.67
Round1,"LG Joji, 9L TabzG, OA Whofishy",72,158,9,1,6.78,12.44
Round1,"youtube icxyfn, Connfident, Snipxy",73,158,9,1,5.44,9.44
Round1,"drip lord cub, Pwo Pwaya Dwew, lil Tizzly",74,157,10,3,4.7,11.2
Round1,"TNA Jeff, Rеhаn, 47 Logic",75,157,7,2,10.29,8.29
Round1,"Aperta_, cozhies., Aminished",76,157,10,2,6.0,12.5
